4.459000 4.431000 226.000000  50
4.423000 4.395000 223.000000  50
4.385000 4.361000 221.000000  50
4.345000 4.329000 218.000000  50
4.304000 4.299000 215.000000  50
4.261000 4.271000 212.000000  94
4.217000 4.246000 209.000000  94
4.172000 4.222000 207.000000  94
4.126000 4.201000 204.000000  94
4.055000 4.173000 198.000000  94
3.982000 4.155000 191.000000  94
3.907000 4.144000 184.000000  94
3.819000 4.141000 179.000000  113
3.686000 4.141000 179.000000  113
3.582000 4.142000 179.000000  93
3.454000 4.145000 176.000000  133
3.345000 4.153000 176.000000  133
3.237000 4.160000 176.000000  133
3.129000 4.167000 176.000000  133
3.020000 4.174000 176.000000  133
2.912000 4.181000 176.000000  133
2.813000 4.188000 176.000000  153
2.725000 4.191000 179.000000  153
2.642000 4.193000 178.000000  153
2.559000 4.196000 176.000000  153
2.459000 4.203000 175.000000  173
2.390000 4.208000 175.000000  214
2.279000 4.215000 178.000000  214
2.168000 4.217000 181.000000  193
2.044000 4.217000 179.000000  174
1.939000 4.218000 179.000000  174
1.833000 4.218000 181.000000  197
1.723000 4.214000 185.000000  197
1.613000 4.204000 188.000000  197
1.504000 4.186000 192.000000  218
1.443000 4.171000 198.000000  198
1.354000 4.140000 203.000000  178
1.316000 4.124000 205.000000  177
1.272000 4.102000 209.000000  154
1.172000 4.047000 210.000000  155
1.119000 4.016000 213.000000  155
1.067000 3.982000 215.000000  156
1.028000 3.953000 219.000000  156
0.990000 3.921000 222.000000  156
0.954000 3.888000 226.000000  156
0.920000 3.852000 229.000000  156
0.858000 3.776000 232.000000  137
0.810000 3.712000 235.000000  137
0.765000 3.645000 238.000000  137
0.724000 3.576000 241.000000  117
0.676000 3.482000 246.000000  99
0.645000 3.411000 247.000000  79
0.585000 3.253000 253.000000  79
0.563000 3.179000 255.000000  79
0.547000 3.113000 259.000000  79
0.536000 3.045000 264.000000  59
0.530000 2.993000 264.000000  37
0.518000 2.881000 265.000000  37
0.510000 2.768000 267.000000  18
0.506000 2.704000 267.000000  18
0.502000 2.640000 267.000000  18
0.499000 2.576000 267.000000  18
0.496000 2.535000 265.000000  18
0.495000 2.531000 259.000000  18
0.494000 2.527000 253.000000  19
0.477000 2.473000 253.000000  39
0.448000 2.378000 254.000000  39
0.422000 2.286000 256.000000  39
0.411000 2.245000 254.000000  39
0.398000 2.205000 252.000000  39
0.399000 2.207000 250.000000  39
0.382000 2.163000 248.000000  39
0.363000 2.119000 246.000000  0
0.360000 2.113000 240.000000  0
0.357000 2.108000 234.000000  0
0.328000 2.072000 228.000000  0
0.331000 2.075000 221.000000  0
0.334000 2.078000 213.000000  0
0.339000 2.080000 205.000000  0
0.317000 2.071000 198.000000  0
0.294000 2.065000 191.000000  1
0.270000 2.061000 190.000000  1
0.246000 2.057000 190.000000  1
0.230000 2.054000 189.000000  1
